map,date,ft_pick,ft_score,st_score,ft_link,st_link,ft_round_1_win,ft_round_2_win,ft_round_3_win,ft_round_4_win,ft_round_5_win,ft_round_6_win,ft_round_7_win,ft_round_8_win,ft_round_9_win,ft_round_10_win,ft_round_11_win,ft_round_12_win,ft_round_13_win,ft_round_14_win,ft_round_15_win,ft_round_16_win,ft_round_17_win,ft_round_18_win,ft_round_19_win,ft_round_20_win,ft_round_21_win,ft_round_22_win,ft_round_23_win,ft_round_24_win,ft_round_25_win,ft_round_26_win,ft_round_27_win,ft_round_28_win,ft_round_29_win,ft_round_30_win,match_id,isBoOne,match_num,ft_Maps played,ft_Win Rate,ft_Total kills,ft_Total deaths,ft_Rounds played,ft_K/D Ratio,ft_age,ft_mp_Times played,ft_mp_Total rounds played,ft_mp_Rounds won,ft_mp_Win percent,ft_mp_Pistol rounds,ft_mp_Pistol rounds won,ft_mp_Pistol round win percent,ft_pl_KAST,ft_pl_Impact,ft_pl_ADR,ft_pl_KPR,ft_pl_Total kills,ft_pl_Headshot %,ft_pl_Total deaths,ft_pl_K/D Ratio,ft_pl_Damage / Round,ft_pl_Grenade dmg / Round,ft_pl_Maps played,ft_pl_Rounds played,ft_pl_Kills / round,ft_pl_Assists / round,ft_pl_Deaths / round,ft_pl_Saved by teammate / round,ft_pl_Saved teammates / round,ft_pl_Rating 2.0,ft_pl_Total opening kills,ft_pl_Total opening deaths,ft_pl_Opening kill ratio,ft_pl_Opening kill rating,ft_pl_Team win percent after first kill,ft_pl_First kill in won rounds,ft_pl_0 kill rounds,ft_pl_1 kill rounds,ft_pl_2 kill rounds,ft_pl_3 kill rounds,ft_pl_4 kill rounds,ft_pl_5 kill rounds,ft_pl_Rifle kills,ft_pl_Sniper kills,ft_pl_SMG kills,ft_pl_Pistol kills,ft_pl_Grenade,ft_pl_Other,ft_pl_players_in_team,st_Maps played,st_Win Rate,st_Total kills,st_Total deaths,st_Rounds played,st_K/D Ratio,st_age,st_mp_Times played,st_mp_Total rounds played,st_mp_Rounds won,st_mp_Win percent,st_mp_Pistol rounds,st_mp_Pistol rounds won,st_mp_Pistol round win percent,st_pl_KAST,st_pl_Impact,st_pl_ADR,st_pl_KPR,st_pl_Total kills,st_pl_Headshot %,st_pl_Total deaths,st_pl_K/D Ratio,st_pl_Damage / Round,st_pl_Grenade dmg / Round,st_pl_Maps played,st_pl_Rounds played,st_pl_Kills / round,st_pl_Assists / round,st_pl_Deaths / round,st_pl_Saved by teammate / round,st_pl_Saved teammates / round,st_pl_Rating 2.0,st_pl_Total opening kills,st_pl_Total opening deaths,st_pl_Opening kill ratio,st_pl_Opening kill rating,st_pl_Team win percent after first kill,st_pl_First kill in won rounds,st_pl_0 kill rounds,st_pl_1 kill rounds,st_pl_2 kill rounds,st_pl_3 kill rounds,st_pl_4 kill rounds,st_pl_5 kill rounds,st_pl_Rifle kills,st_pl_Sniper kills,st_pl_SMG kills,st_pl_Pistol kills,st_pl_Grenade,st_pl_Other,st_pl_players_in_team
Dust2,2019-06-30,1,16,14,/stats/teams/9722/NoChance,/stats/teams/4602/Tricked,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,88640,0,2,52.0,0.5576923076923077,4623.0,4734.0,1392.0,0.98,24,11.0,295.0,153.0,54.5,22.0,12.0,54.5,68.5,1.016,73.33999999999999,0.6599999999999999,872.0,42.17999999999999,902.6,0.9720000000000001,73.33999999999999,4.92,49.6,1325.2,0.6599999999999999,0.13,0.682,0.08600000000000001,0.084,1.016,127.2,130.4,0.9960000000000001,0.986,71.47999999999999,13.76,734.6,371.0,168.2,41.4,9.6,0.4,552.8,98.0,60.0,141.0,15.6,5.8,5,102.0,0.6764705882352942,9193.0,8547.0,2668.0,1.08,24,18.0,468.0,247.0,61.1,36.0,19.0,52.8,71.4,1.056,76.58000000000001,0.7,1747.6,47.42,1619.8,1.0859999999999999,76.58000000000001,4.2,96.4,2530.6,0.7,0.124,0.642,0.094,0.096,1.098,261.6,234.8,1.1219999999999999,1.032,76.3,14.780000000000001,1337.2,774.4,305.8,92.8,18.8,1.6,1116.6,264.4,78.8,251.2,23.6,15.4,5
Nuke,2019-06-30,0,7,16,/stats/teams/9722/NoChance,/stats/teams/4602/Tricked,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,88642,0,3,52.0,0.5576923076923077,4623.0,4734.0,1392.0,0.98,24,6.0,151.0,87.0,83.3,12.0,7.0,58.3,68.5,1.016,73.33999999999999,0.6599999999999999,872.0,42.17999999999999,902.6,0.9720000000000001,73.33999999999999,4.92,49.6,1325.2,0.6599999999999999,0.13,0.682,0.08600000000000001,0.084,1.016,127.2,130.4,0.9960000000000001,0.986,71.47999999999999,13.76,734.6,371.0,168.2,41.4,9.6,0.4,552.8,98.0,60.0,141.0,15.6,5.8,5,102.0,0.6764705882352942,9193.0,8547.0,2668.0,1.08,24,24.0,682.0,356.0,62.5,48.0,20.0,41.7,71.4,1.056,76.58000000000001,0.7,1747.6,47.42,1619.8,1.0859999999999999,76.58000000000001,4.2,96.4,2530.6,0.7,0.124,0.642,0.094,0.096,1.098,261.6,234.8,1.1219999999999999,1.032,76.3,14.780000000000001,1337.2,774.4,305.8,92.8,18.8,1.6,1116.6,264.4,78.8,251.2,23.6,15.4,5
Overpass,2019-07-08,0,12,16,/stats/teams/4602/Tricked,/stats/teams/8769/Nordavind,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,88851,0,1,104.0,0.6826923076923077,9437.0,8733.0,2725.0,1.08,24,14.0,358.0,203.0,64.3,28.0,13.0,46.4,71.55999999999999,1.064,76.84,0.698,1795.0,47.36,1658.0,1.092,76.84,4.38,98.6,2590.6,0.698,0.124,0.642,0.096,0.096,1.106,270.2,236.4,1.1460000000000001,1.044,76.03999999999999,14.819999999999999,1366.4,793.0,314.8,95.0,19.6,1.8,1146.6,274.2,82.2,255.6,23.8,15.0,5,62.0,0.5967741935483871,5765.0,5752.0,1709.0,1.0,24,17.0,453.0,239.0,64.7,34.0,17.0,50.0,70.78,1.048,74.0,0.68,1062.4,48.9,1044.2,1.016,74.0,4.12,56.2,1553.0,0.68,0.124,0.672,0.10800000000000001,0.10800000000000001,1.058,151.4,161.6,0.9400000000000001,0.974,73.2,13.679999999999998,845.0,443.4,191.8,57.8,13.0,2.0,612.8,172.6,82.2,177.6,13.8,4.6,5
Nuke,2019-07-08,1,16,9,/stats/teams/4602/Tricked,/stats/teams/8769/Nordavind,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,88852,0,2,104.0,0.6826923076923077,9437.0,8733.0,2725.0,1.08,24,22.0,633.0,339.0,68.2,44.0,19.0,43.2,71.55999999999999,1.064,76.84,0.698,1795.0,47.36,1658.0,1.092,76.84,4.38,98.6,2590.6,0.698,0.124,0.642,0.096,0.096,1.106,270.2,236.4,1.1460000000000001,1.044,76.03999999999999,14.819999999999999,1366.4,793.0,314.8,95.0,19.6,1.8,1146.6,274.2,82.2,255.6,23.8,15.0,5,62.0,0.5967741935483871,5765.0,5752.0,1709.0,1.0,24,6.0,183.0,94.0,50.0,12.0,9.0,75.0,70.78,1.048,74.0,0.68,1062.4,48.9,1044.2,1.016,74.0,4.12,56.2,1553.0,0.68,0.124,0.672,0.10800000000000001,0.10800000000000001,1.058,151.4,161.6,0.9400000000000001,0.974,73.2,13.679999999999998,845.0,443.4,191.8,57.8,13.0,2.0,612.8,172.6,82.2,177.6,13.8,4.6,5
Mirage,2019-07-08,0,12,16,/stats/teams/4602/Tricked,/stats/teams/8769/Nordavind,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,88853,0,3,104.0,0.6826923076923077,9437.0,8733.0,2725.0,1.08,24,17.0,445.0,247.0,70.6,34.0,20.0,58.8,71.55999999999999,1.064,76.84,0.698,1795.0,47.36,1658.0,1.092,76.84,4.38,98.6,2590.6,0.698,0.124,0.642,0.096,0.096,1.106,270.2,236.4,1.1460000000000001,1.044,76.03999999999999,14.819999999999999,1366.4,793.0,314.8,95.0,19.6,1.8,1146.6,274.2,82.2,255.6,23.8,15.0,5,62.0,0.5967741935483871,5765.0,5752.0,1709.0,1.0,24,11.0,310.0,153.0,45.5,22.0,13.0,59.1,70.78,1.048,74.0,0.68,1062.4,48.9,1044.2,1.016,74.0,4.12,56.2,1553.0,0.68,0.124,0.672,0.10800000000000001,0.10800000000000001,1.058,151.4,161.6,0.9400000000000001,0.974,73.2,13.679999999999998,845.0,443.4,191.8,57.8,13.0,2.0,612.8,172.6,82.2,177.6,13.8,4.6,5
Nuke,2019-07-09,1,16,11,/stats/teams/4602/Tricked,/stats/teams/7532/BIG,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,88883,0,1,108.0,0.6666666666666666,9819.0,9144.0,2841.0,1.07,24,22.0,631.0,339.0,68.2,44.0,20.0,45.5,71.52000000000001,1.068,76.64000000000001,0.698,1856.8,47.480000000000004,1722.8,1.09,76.64000000000001,4.359999999999999,101.8,2685.2,0.698,0.122,0.642,0.096,0.098,1.104,281.0,245.8,1.1439999999999997,1.044,75.52000000000001,14.819999999999999,1419.4,820.0,324.8,98.6,20.6,1.8,1183.2,281.6,88.0,266.8,24.8,14.8,5,37.0,0.35135135135135137,2962.0,3279.0,947.0,0.9,24,2.0,50.0,18.0,0.0,4.0,2.0,50.0,68.08,1.076,76.44,0.708,566.6,42.4,542.2,1.054,76.44,4.32,31.0,802.2,0.708,0.118,0.6759999999999999,0.078,0.1,1.0580000000000003,90.0,79.2,1.314,1.0479999999999998,69.1,16.139999999999997,425.8,232.6,105.6,30.8,6.6,0.8,298.8,129.8,25.8,103.8,7.8,1.2,5
Dust2,2019-07-09,0,19,15,/stats/teams/4602/Tricked,/stats/teams/7532/BIG,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,88887,0,2,108.0,0.6666666666666666,9819.0,9144.0,2841.0,1.07,24,16.0,418.0,221.0,56.2,32.0,15.0,46.9,71.52000000000001,1.068,76.64000000000001,0.698,1856.8,47.480000000000004,1722.8,1.09,76.64000000000001,4.359999999999999,101.8,2685.2,0.698,0.122,0.642,0.096,0.098,1.104,281.0,245.8,1.1439999999999997,1.044,75.52000000000001,14.819999999999999,1419.4,820.0,324.8,98.6,20.6,1.8,1183.2,281.6,88.0,266.8,24.8,14.8,5,37.0,0.35135135135135137,2962.0,3279.0,947.0,0.9,24,8.0,211.0,94.0,37.5,16.0,6.0,37.5,68.08,1.076,76.44,0.708,566.6,42.4,542.2,1.054,76.44,4.32,31.0,802.2,0.708,0.118,0.6759999999999999,0.078,0.1,1.0580000000000003,90.0,79.2,1.314,1.0479999999999998,69.1,16.139999999999997,425.8,232.6,105.6,30.8,6.6,0.8,298.8,129.8,25.8,103.8,7.8,1.2,5
Nuke,2019-07-11,1,16,11,/stats/teams/4602/Tricked,/stats/teams/8769/Nordavind,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,88995,0,1,107.0,0.6448598130841121,9742.0,9133.0,2828.0,1.07,24,22.0,632.0,339.0,68.2,44.0,21.0,47.7,71.6,1.058,76.3,0.696,1842.0,47.34,1718.4,1.0819999999999999,76.3,4.42,101.2,2675.6,0.696,0.122,0.644,0.098,0.096,1.098,276.4,247.0,1.124,1.036,74.8,14.559999999999999,1415.8,820.2,320.4,97.4,20.2,1.6,1174.6,282.4,87.0,262.2,24.0,14.4,5,71.0,0.6197183098591549,6578.0,6478.0,1938.0,1.02,24,8.0,238.0,117.0,37.5,16.0,10.0,62.5,71.18,1.06,74.04,0.6839999999999999,1229.4,49.239999999999995,1198.0,1.024,74.04,4.14,65.6,1792.8,0.6839999999999999,0.124,0.666,0.10400000000000001,0.10200000000000001,1.0619999999999998,178.0,183.8,0.984,0.9899999999999999,73.17999999999999,13.819999999999999,971.0,516.8,221.6,66.6,14.4,2.4,718.0,193.8,93.2,205.6,16.0,4.0,5
Overpass,2019-07-11,0,16,11,/stats/teams/4602/Tricked,/stats/teams/8769/Nordavind,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,88998,0,2,107.0,0.6448598130841121,9742.0,9133.0,2828.0,1.07,24,16.0,422.0,234.0,62.5,32.0,14.0,43.8,71.6,1.058,76.3,0.696,1842.0,47.34,1718.4,1.0819999999999999,76.3,4.42,101.2,2675.6,0.696,0.122,0.644,0.098,0.096,1.098,276.4,247.0,1.124,1.036,74.8,14.559999999999999,1415.8,820.2,320.4,97.4,20.2,1.6,1174.6,282.4,87.0,262.2,24.0,14.4,5,71.0,0.6197183098591549,6578.0,6478.0,1938.0,1.02,24,20.0,528.0,280.0,70.0,40.0,19.0,47.5,71.18,1.06,74.04,0.6839999999999999,1229.4,49.239999999999995,1198.0,1.024,74.04,4.14,65.6,1792.8,0.6839999999999999,0.124,0.666,0.10400000000000001,0.10200000000000001,1.0619999999999998,178.0,183.8,0.984,0.9899999999999999,73.17999999999999,13.819999999999999,971.0,516.8,221.6,66.6,14.4,2.4,718.0,193.8,93.2,205.6,16.0,4.0,5
Inferno,2019-07-11,0,16,14,/stats/teams/8963/Lyngby%20Vikings,/stats/teams/4602/Tricked,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,89013,0,1,21.0,0.42857142857142855,1858.0,1940.0,569.0,0.96,24,5.0,136.0,68.0,60.0,10.0,5.0,50.0,69.6,1.0079999999999998,72.58000000000001,0.654,371.6,44.62,388.0,0.962,72.58000000000001,4.14,21.0,569.0,0.654,0.136,0.682,0.11200000000000002,0.11200000000000002,1.016,55.0,58.4,1.004,0.982,69.18,13.98,314.8,166.4,63.0,20.4,4.0,0.4,238.0,48.6,25.8,54.4,4.6,0.6,5,107.0,0.6448598130841121,9742.0,9133.0,2828.0,1.07,24,11.0,297.0,149.0,54.5,22.0,9.0,40.9,71.6,1.058,76.3,0.696,1842.0,47.34,1718.4,1.0819999999999999,76.3,4.42,101.2,2675.6,0.696,0.122,0.644,0.098,0.096,1.098,276.4,247.0,1.124,1.036,74.8,14.559999999999999,1415.8,820.2,320.4,97.4,20.2,1.6,1174.6,282.4,87.0,262.2,24.0,14.4,5
Train,2019-07-11,0,7,16,/stats/teams/8963/Lyngby%20Vikings,/stats/teams/4602/Tricked,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,89018,0,2,21.0,0.42857142857142855,1858.0,1940.0,569.0,0.96,24,6.0,166.0,64.0,0.0,12.0,5.0,41.7,69.6,1.0079999999999998,72.58000000000001,0.654,371.6,44.62,388.0,0.962,72.58000000000001,4.14,21.0,569.0,0.654,0.136,0.682,0.11200000000000002,0.11200000000000002,1.016,55.0,58.4,1.004,0.982,69.18,13.98,314.8,166.4,63.0,20.4,4.0,0.4,238.0,48.6,25.8,54.4,4.6,0.6,5,107.0,0.6448598130841121,9742.0,9133.0,2828.0,1.07,24,20.0,490.0,293.0,80.0,40.0,26.0,65.0,71.6,1.058,76.3,0.696,1842.0,47.34,1718.4,1.0819999999999999,76.3,4.42,101.2,2675.6,0.696,0.122,0.644,0.098,0.096,1.098,276.4,247.0,1.124,1.036,74.8,14.559999999999999,1415.8,820.2,320.4,97.4,20.2,1.6,1174.6,282.4,87.0,262.2,24.0,14.4,5
Mirage,2019-07-11,0,14,16,/stats/teams/8963/Lyngby%20Vikings,/stats/teams/4602/Tricked,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,89028,0,3,21.0,0.42857142857142855,1858.0,1940.0,569.0,0.96,24,1.0,22.0,16.0,100.0,2.0,2.0,100.0,69.6,1.0079999999999998,72.58000000000001,0.654,371.6,44.62,388.0,0.962,72.58000000000001,4.14,21.0,569.0,0.654,0.136,0.682,0.11200000000000002,0.11200000000000002,1.016,55.0,58.4,1.004,0.982,69.18,13.98,314.8,166.4,63.0,20.4,4.0,0.4,238.0,48.6,25.8,54.4,4.6,0.6,5,107.0,0.6448598130841121,9742.0,9133.0,2828.0,1.07,24,19.0,496.0,275.0,68.4,38.0,22.0,57.9,71.6,1.058,76.3,0.696,1842.0,47.34,1718.4,1.0819999999999999,76.3,4.42,101.2,2675.6,0.696,0.122,0.644,0.098,0.096,1.098,276.4,247.0,1.124,1.036,74.8,14.559999999999999,1415.8,820.2,320.4,97.4,20.2,1.6,1174.6,282.4,87.0,262.2,24.0,14.4,5
Nuke,2019-07-13,0,10,16,/stats/teams/10020/Aristocracy,/stats/teams/4602/Tricked,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,89071,1,1,46.0,0.5652173913043478,4496.0,4375.0,1312.0,1.03,24,11.0,299.0,170.0,63.6,22.0,12.0,54.5,69.2,1.052,75.08,0.6859999999999999,1198.0,46.32,1178.0,1.0219999999999998,75.08,3.96,61.8,1754.2,0.6859999999999999,0.132,0.67,0.09000000000000001,0.088,1.05,180.6,170.6,1.064,1.02,72.4,14.62,935.8,526.4,217.6,63.0,9.6,1.8,783.6,155.2,54.4,184.6,12.8,9.8,5,105.0,0.6476190476190476,9616.0,9020.0,2795.0,1.07,24,22.0,636.0,348.0,72.7,44.0,21.0,47.7,71.46,1.0539999999999998,76.16,0.694,1830.6,47.42,1708.2,1.0799999999999998,76.16,4.4399999999999995,100.0,2660.4,0.694,0.12,0.644,0.098,0.098,1.096,274.0,249.6,1.1039999999999999,1.03,74.6,14.48,1408.4,813.6,321.2,95.8,19.8,1.6,1174.6,277.8,86.4,255.8,25.2,13.6,5
Dust2,2019-07-13,0,16,14,/stats/teams/4602/Tricked,/stats/teams/9928/GamerLegion,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,89085,1,1,105.0,0.6476190476190476,9616.0,9020.0,2795.0,1.07,24,16.0,422.0,222.0,56.2,32.0,16.0,50.0,71.46,1.0539999999999998,76.16,0.694,1830.6,47.42,1708.2,1.0799999999999998,76.16,4.4399999999999995,100.0,2660.4,0.694,0.12,0.644,0.098,0.098,1.096,274.0,249.6,1.1039999999999999,1.03,74.6,14.48,1408.4,813.6,321.2,95.8,19.8,1.6,1174.6,277.8,86.4,255.8,25.2,13.6,5,67.0,0.5970149253731343,6176.0,5991.0,1812.0,1.03,24,13.0,347.0,192.0,69.2,26.0,17.0,65.4,69.32000000000001,1.094,76.84,0.71,1158.0,51.78000000000001,1084.0,1.068,76.84,4.12,60.0,1629.0,0.71,0.122,0.6679999999999999,0.084,0.092,1.082,168.2,162.6,1.108,1.0239999999999998,73.88,14.819999999999999,854.2,479.6,219.6,64.0,10.8,0.8,712.8,186.6,60.0,180.0,13.4,7.6,5
Mirage,2019-07-14,0,13,16,/stats/teams/4602/Tricked,/stats/teams/5378/Virtus.pro,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,89155,0,1,107.0,0.6542056074766355,9808.0,9205.0,2851.0,1.07,24,20.0,526.0,291.0,70.0,40.0,23.0,57.5,71.44000000000001,1.0539999999999998,76.17999999999999,0.696,1861.2,47.56,1737.2,1.0799999999999998,76.17999999999999,4.4,101.6,2705.2,0.696,0.122,0.646,0.096,0.098,1.096,277.4,254.6,1.0939999999999999,1.03,74.82000000000001,14.460000000000003,1433.2,825.2,327.8,97.2,20.2,1.6,1193.4,282.8,87.4,260.8,25.8,13.8,5,101.0,0.49504950495049505,9446.0,9510.0,2832.0,0.99,24,30.0,787.0,396.0,56.7,60.0,36.0,60.0,69.42,1.02,74.34,0.6839999999999999,1912.4,44.940000000000005,1870.6,1.024,74.34,4.0,100.6,2804.4,0.6839999999999999,0.11000000000000001,0.664,0.082,0.08600000000000001,1.046,291.2,269.2,1.0880000000000003,1.026,71.62,14.98,1480.8,875.8,328.8,98.8,18.4,1.8,1197.0,311.6,98.4,278.6,21.6,7.6,5
Nuke,2019-07-14,1,16,5,/stats/teams/4602/Tricked,/stats/teams/5378/Virtus.pro,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,89156,0,2,107.0,0.6542056074766355,9808.0,9205.0,2851.0,1.07,24,23.0,662.0,364.0,73.9,46.0,22.0,47.8,71.44000000000001,1.0539999999999998,76.17999999999999,0.696,1861.2,47.56,1737.2,1.0799999999999998,76.17999999999999,4.4,101.6,2705.2,0.696,0.122,0.646,0.096,0.098,1.096,277.4,254.6,1.0939999999999999,1.03,74.82000000000001,14.460000000000003,1433.2,825.2,327.8,97.2,20.2,1.6,1193.4,282.8,87.4,260.8,25.8,13.8,5,101.0,0.49504950495049505,9446.0,9510.0,2832.0,0.99,24,20.0,581.0,302.0,65.0,40.0,15.0,37.5,69.42,1.02,74.34,0.6839999999999999,1912.4,44.940000000000005,1870.6,1.024,74.34,4.0,100.6,2804.4,0.6839999999999999,0.11000000000000001,0.664,0.082,0.08600000000000001,1.046,291.2,269.2,1.0880000000000003,1.026,71.62,14.98,1480.8,875.8,328.8,98.8,18.4,1.8,1197.0,311.6,98.4,278.6,21.6,7.6,5
Train,2019-07-14,0,22,19,/stats/teams/4602/Tricked,/stats/teams/5378/Virtus.pro,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,89157,0,3,107.0,0.6542056074766355,9808.0,9205.0,2851.0,1.07,24,19.0,468.0,277.0,78.9,38.0,23.0,60.5,71.44000000000001,1.0539999999999998,76.17999999999999,0.696,1861.2,47.56,1737.2,1.0799999999999998,76.17999999999999,4.4,101.6,2705.2,0.696,0.122,0.646,0.096,0.098,1.096,277.4,254.6,1.0939999999999999,1.03,74.82000000000001,14.460000000000003,1433.2,825.2,327.8,97.2,20.2,1.6,1193.4,282.8,87.4,260.8,25.8,13.8,5,101.0,0.49504950495049505,9446.0,9510.0,2832.0,0.99,24,16.0,482.0,247.0,50.0,32.0,14.0,43.8,69.42,1.02,74.34,0.6839999999999999,1912.4,44.940000000000005,1870.6,1.024,74.34,4.0,100.6,2804.4,0.6839999999999999,0.11000000000000001,0.664,0.082,0.08600000000000001,1.046,291.2,269.2,1.0880000000000003,1.026,71.62,14.98,1480.8,875.8,328.8,98.8,18.4,1.8,1197.0,311.6,98.4,278.6,21.6,7.6,5
Nuke,2019-07-16,1,16,7,/stats/teams/4602/Tricked,/stats/teams/7969/Nemiga,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,89232,0,1,112.0,0.6428571428571429,10290.0,9704.0,2999.0,1.06,24,24.0,683.0,380.0,75.0,48.0,24.0,50.0,71.36000000000001,1.0559999999999998,76.16,0.692,1936.4,47.519999999999996,1816.6,1.0779999999999998,76.16,4.36,105.6,2823.6,0.692,0.122,0.644,0.098,0.098,1.096,288.6,265.6,1.092,1.03,74.88,14.5,1500.6,857.2,342.6,100.4,21.2,1.6,1241.2,296.8,92.0,269.0,26.2,14.2,5,92.0,0.6086956521739131,8610.0,7838.0,2475.0,1.1,24,12.0,322.0,156.0,58.3,24.0,12.0,50.0,72.73999999999998,1.0699999999999998,75.6,0.6980000000000001,1720.2,44.02,1565.4,1.1019999999999999,75.6,4.5200000000000005,91.8,2471.0,0.6980000000000001,0.132,0.632,0.088,0.08800000000000001,1.1059999999999999,263.8,228.6,1.214,1.0459999999999998,73.34,14.7,1290.0,771.0,301.8,89.4,16.6,2.2,1104.6,227.2,111.0,247.4,26.8,5.8,5
Mirage,2019-07-16,0,19,17,/stats/teams/4602/Tricked,/stats/teams/7969/Nemiga,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,89235,0,2,112.0,0.6428571428571429,10290.0,9704.0,2999.0,1.06,24,21.0,555.0,304.0,66.7,42.0,24.0,57.1,71.36000000000001,1.0559999999999998,76.16,0.692,1936.4,47.519999999999996,1816.6,1.0779999999999998,76.16,4.36,105.6,2823.6,0.692,0.122,0.644,0.098,0.098,1.096,288.6,265.6,1.092,1.03,74.88,14.5,1500.6,857.2,342.6,100.4,21.2,1.6,1241.2,296.8,92.0,269.0,26.2,14.2,5,92.0,0.6086956521739131,8610.0,7838.0,2475.0,1.1,24,19.0,514.0,280.0,63.2,38.0,15.0,39.5,72.73999999999998,1.0699999999999998,75.6,0.6980000000000001,1720.2,44.02,1565.4,1.1019999999999999,75.6,4.5200000000000005,91.8,2471.0,0.6980000000000001,0.132,0.632,0.088,0.08800000000000001,1.1059999999999999,263.8,228.6,1.214,1.0459999999999998,73.34,14.7,1290.0,771.0,301.8,89.4,16.6,2.2,1104.6,227.2,111.0,247.4,26.8,5.8,5
Dust2,2019-07-17,0,19,17,/stats/teams/8248/PACT,/stats/teams/4602/Tricked,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,89293,0,1,58.0,0.43103448275862066,5212.0,5301.0,1551.0,0.98,24,4.0,114.0,53.0,25.0,8.0,2.0,25.0,64.7,1.008,70.53999999999999,0.6119999999999999,678.2,42.8,708.0,0.8699999999999999,70.53999999999999,3.7600000000000002,39.2,1041.2,0.6119999999999999,0.158,0.716,0.094,0.088,0.9440000000000002,103.6,104.2,0.968,1.0219999999999998,71.0,18.68,573.6,308.0,117.6,34.2,6.6,1.2,415.2,114.0,40.4,101.2,9.0,2.4,5,114.0,0.6491228070175439,10492.0,9891.0,3058.0,1.06,24,17.0,452.0,238.0,58.8,34.0,16.0,47.1,71.4,1.0559999999999998,76.22,0.696,1969.6,47.68,1845.6,1.0799999999999998,76.22,4.38,107.2,2870.8,0.696,0.122,0.644,0.098,0.098,1.096,293.6,269.4,1.0959999999999999,1.028,75.02000000000001,14.52,1525.6,872.0,346.8,103.2,21.6,1.6,1262.6,301.0,92.8,274.6,26.8,14.8,5
Inferno,2019-07-17,1,16,14,/stats/teams/8248/PACT,/stats/teams/4602/Tricked,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,89297,0,2,58.0,0.43103448275862066,5212.0,5301.0,1551.0,0.98,24,10.0,243.0,135.0,70.0,20.0,11.0,55.0,64.7,1.008,70.53999999999999,0.6119999999999999,678.2,42.8,708.0,0.8699999999999999,70.53999999999999,3.7600000000000002,39.2,1041.2,0.6119999999999999,0.158,0.716,0.094,0.088,0.9440000000000002,103.6,104.2,0.968,1.0219999999999998,71.0,18.68,573.6,308.0,117.6,34.2,6.6,1.2,415.2,114.0,40.4,101.2,9.0,2.4,5,114.0,0.6491228070175439,10492.0,9891.0,3058.0,1.06,24,11.0,294.0,138.0,36.4,22.0,7.0,31.8,71.4,1.0559999999999998,76.22,0.696,1969.6,47.68,1845.6,1.0799999999999998,76.22,4.38,107.2,2870.8,0.696,0.122,0.644,0.098,0.098,1.096,293.6,269.4,1.0959999999999999,1.028,75.02000000000001,14.52,1525.6,872.0,346.8,103.2,21.6,1.6,1262.6,301.0,92.8,274.6,26.8,14.8,5
